Serving HTTP on 0.0.0.0 port 9011 (http://0.0.0.0:9011/) ...
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET / HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /styles.css HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /res/tools_logo.png HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /res/academic_logo.png HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /res/campus_life_logo.png HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /res/service_logo.png HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:21:22] code 404, message File not found
10.200.112.35 - - [12/Nov/2024 11:21:22] "GET /favicon.ico HTTP/1.1" 404 -
10.200.112.35 - - [12/Nov/2024 11:21:24] "GET /res/DKU_LOGO.png HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:57] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:24:58] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:55] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 11:48:57] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:44] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:44] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:45] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:01:46] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:03:00] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:03:00] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:44] "GET /res/service_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:11:45] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:12:17] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:12:17] "GET /script.js HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:13:05] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:13:06] "GET /script.js HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:04] "GET / HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:04] "GET /styles.css HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:04] "GET /script.js HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /res/academic_logo.png HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /res/campus_life_logo.png HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /res/tools_logo.png HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /res/service_logo.png HTTP/1.1" 200 -
10.203.40.205 - - [12/Nov/2024 12:15:05] code 404, message File not found
10.203.40.205 - - [12/Nov/2024 12:15:05] "GET /favicon.ico HTTP/1.1" 404 -
10.203.61.183 - - [12/Nov/2024 12:15:22] "GET / HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /styles.css HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /res/DKU_LOGO.svg HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /res/edge_logo.svg HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /res/academic_logo.png HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /res/campus_life_logo.png HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /res/service_logo.png HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /script.js HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:15:23] "GET /res/tools_logo.png HTTP/1.1" 200 -
10.200.112.35 - - [12/Nov/2024 12:16:04] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:16:04] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:20:19] "GET /styles.css HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:21:29] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:21:29] "GET /res/service_logo.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:22:00] code 404, message File not found
10.203.61.183 - - [12/Nov/2024 12:22:00] "GET /favicon.ico HTTP/1.1" 404 -
10.200.112.35 - - [12/Nov/2024 12:22:03] "GET /res/DKU_LOGO.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:22:04] "GET /res/DKU_LOGO.png HTTP/1.1" 200 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET / HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /styles.css HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/academic_logo.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/campus_life_logo.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/service_logo.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /script.js HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:25:54] "GET /res/tools_logo.png HTTP/1.1" 304 -
10.203.61.183 - - [12/Nov/2024 12:26:26] code 404, message File not found
10.203.61.183 - - [12/Nov/2024 12:26:26] "GET /favicon.ico HTTP/1.1" 404 -
10.200.112.35 - - [12/Nov/2024 12:27:05] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:27:05] "GET /script.js HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:27:07] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:27:08] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:01] "GET / HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:01] "GET /styles.css HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/DKU_LOGO.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /res/edge_logo.svg HTTP/1.1" 304 -
10.200.112.35 - - [12/Nov/2024 12:31:02] "GET /script.js HTTP/1.1" 200 -
